NAME,WIDTH,ROLL,NET,GROSS
HSSI-3120-Y09B-P,348,1,50.1,51.2
HSSI-3120-Y09B-P,348,2,48.7,49.8
HSSI-3120-Y09B-P,348,3,50.5,51.6
HSSI-3120-Y09B-P,348,4,51,52.1
HSSI-3120-Y09B-P,348,5,50.1,51.2
HSSI-3120-Y09B-P,348,6,49.9,51
HSSI-3120-Y09B-P,348,7,51.7,52.8
HSSI-3120-Y09B-P,348,8,51.4,52.5
HSSI-3120-Y09B-P,325,1,46.6,47.7
HSSI-3120-Y09B-P,325,2,46.3,47.4
HSSI-3120-Y09B-P,325,3,45.9,47
HSSI-3120-Y09B-P,325,4,45.5,46.6
HSSI-3120-Y09B-P,325,5,46,47.1
HSSI-3120-Y09B-P,325,6,46.5,47.6
HSSI-3120-Y09B-P,325,7,47.7,48.8
HSSI-3120-Y09B-P,325,8,47.4,48.5
HSSI-3120-Y09B-P,675,1,95.9,97.4
HSSI-3120-Y09B-P,675,2,96.2,97.7
HSSI-3120-Y09B-P,675,3,98.6,100.1
HSSI-3120-Y09B-P,675,4,102.2,103.7
HSSI-3120-Y09B-P,675,5,101.5,103
HSSI-3120-Y09B-P,850,1,122.3,124
HSSI-3120-Y09B-P,850,2,122.7,124.4
HSSI-3120-Y09B-P,850,3,122.7,124.4
HSSI-3120-Y09B-P,850,4,124.4,126.1
HSSI-3120-Y39-P,850,1,120.3,121.7
HSSI-3120-Y39-P,850,2,120.6,122
HSSI-3120-Y39-P,850,3,126.5,127.9
HSSI-3120-Y39-P,850,4,126.5,127.9
HSSI-3120-Y39-P,850,5,122.8,124.2
HSSI-3120-Y39-P,850,6,131.4,132.8
HSSI-3120-Y39-P,280,1,41.4,42.3
HSSI-3120-Y39-P,280,2,41.3,42.2
HSSI-3120-Y39-P,280,3,40.8,41.7
HSSI-3120-Y39-P,280,4,40.8,41.7
HSSI-3120-Y39-P,280,5,40.8,41.7
HSSI-3120-Y39-P,280,6,41,41.9
HSSI-3120-Y39-P,280,7,41.4,42.3
